time,0
1999-01-01,194
1999-01-11,198
1999-01-21,180
1999-02-01,181
1999-02-11,173
1999-02-21,181
1999-03-01,197
1999-03-11,189
1999-03-21,185
1999-04-01,193
1999-04-11,203
1999-04-21,197
1999-05-01,198
1999-05-11,200
1999-05-21,197
1999-06-01,183
1999-06-11,177
1999-06-21,185
1999-07-01,176
1999-07-11,178
1999-07-21,181
1999-08-01,179
1999-08-11,175
1999-08-21,169
1999-09-01,167
1999-09-11,171
1999-09-21,182
1999-10-01,185
1999-10-11,190
1999-10-21,193
1999-11-01,190
1999-11-11,255
1999-11-21,195
1999-12-01,204
1999-12-11,194
1999-12-21,143
2000-01-01,199
2000-01-11,202
2000-01-21,197
2000-02-01,193
2000-02-11,165
2000-02-21,191
2000-03-01,194
2000-03-11,173
2000-03-21,185
2000-04-01,255
2000-04-11,188
2000-04-21,190
2000-05-01,199
2000-05-11,206
2000-05-21,193
2000-06-01,205
2000-06-11,187
2000-06-21,175
2000-07-01,173
2000-07-11,187
2000-07-21,174
2000-08-01,177
2000-08-11,177
2000-08-21,167
2000-09-01,157
2000-09-11,167
2000-09-21,161
2000-10-01,146
2000-10-11,182
2000-10-21,177
2000-11-01,190
2000-11-11,204
2000-11-21,178
2000-12-01,204
2000-12-11,199
2000-12-21,191
2001-01-01,214
2001-01-11,178
2001-01-21,228
2001-02-01,200
2001-02-11,193
2001-02-21,220
2001-03-01,183
2001-03-11,192
2001-03-21,198
2001-04-01,199
2001-04-11,211
2001-04-21,207
2001-05-01,206
2001-05-11,207
2001-05-21,205
2001-06-01,211
2001-06-11,196
2001-06-21,193
2001-07-01,183
2001-07-11,176
2001-07-21,183
2001-08-01,174
2001-08-11,169
2001-08-21,176
2001-09-01,182
2001-09-11,188
2001-09-21,182
2001-10-01,177
2001-10-11,177
2001-10-21,182
2001-11-01,181
2001-11-11,181
2001-11-21,191
2001-12-01,171
2001-12-11,180
2001-12-21,191
2002-01-01,182
2002-01-11,182
2002-01-21,187
2002-02-01,176
2002-02-11,199
2002-02-21,180
2002-03-01,168
2002-03-11,203
2002-03-21,192
2002-04-01,179
2002-04-11,182
2002-04-21,207
2002-05-01,204
2002-05-11,208
2002-05-21,193
2002-06-01,190
2002-06-11,190
2002-06-21,196
2002-07-01,173
2002-07-11,169
2002-07-21,186
2002-08-01,186
2002-08-11,181
2002-08-21,179
2002-09-01,189
2002-09-11,200
2002-09-21,198
2002-10-01,194
2002-10-11,205
2002-10-21,214
2002-11-01,179
2002-11-11,205
2002-11-21,182
2002-12-01,222
2002-12-11,205
2002-12-21,214
2003-01-01,98
2003-01-11,223
2003-01-21,187
2003-02-01,255
2003-02-11,183
2003-02-21,255
2003-03-01,196
2003-03-11,194
2003-03-21,189
2003-04-01,181
2003-04-11,192
2003-04-21,201
2003-05-01,207
2003-05-11,205
2003-05-21,194
2003-06-01,197
2003-06-11,191
2003-06-21,196
2003-07-01,187
2003-07-11,182
2003-07-21,182
2003-08-01,181
2003-08-11,179
2003-08-21,170
2003-09-01,189
2003-09-11,178
2003-09-21,187
2003-10-01,190
2003-10-11,191
2003-10-21,180
2003-11-01,198
2003-11-11,210
2003-11-21,190
2003-12-01,202
2003-12-11,215
2003-12-21,191
2004-01-01,201
2004-01-11,195
2004-01-21,255
2004-02-01,196
2004-02-11,181
2004-02-21,186
2004-03-01,158
2004-03-11,186
2004-03-21,158
2004-04-01,195
